method,p_max_mult,vr,rmse_m,esr_camera
sb_sched,1.5,0.0,0.34226440336276476,10.004459640255687
heuristic,1.5,0.0,0.29931048260115706,9.996982043156784
sb_sched,2.0,0.0,0.43339381241193375,4.994797086368367
heuristic,2.0,0.0,0.33719364636289884,9.996982043156784
sb_sched,3.0,0.0,0.5612207076070245,2.4899658094247066
heuristic,3.0,0.0,0.38268430500111583,6.669684623509884
sb_sched,5.0,0.0,0.7202347164825659,1.3304593429463358
heuristic,5.0,0.0,0.41041530529044395,5.002263467632413
sb_sched,10.0,0.0,0.8406744101395949,0.9959863237698826
heuristic,10.0,0.0,0.41041530529044395,5.002263467632413
